id,City_Name,State_code,Population,Density_People_Per_Acre,Population_Growth_Compare_2000,Adjusted_Land_Area,Total_Acres_Park_Area,Total_Park_Units,Acres_per_thousand_people,Parks_per_ten_thousand_residents,Parks_Percent_City_Area,Walkable_access_All,Walkable_Access_Black,Hispanic,Asian,Other_race,Multiple_races,Pacific_Islander,Native_American,All_People_of_color,White,Walkability_Low_Income,Middle_Income,High_Income,Trail_Miles_per_hundred_thousand_residents,Total_spending_per_capita,city_latitudecity_longitude,,,,
75,Raleigh,NC,480766,5.1,0.74,95006,11804,167,24.6,3.5,0.12,0.48,0.47,0.44,0.42,0.45,0.47,0.48,0.42,0.45,0.5,0.51,0.46,0.48,109,188,35.7796,-78.6382,,,
76,Reno,NV,273593,4.1,0.51,66234,3390,87,12.4,3.2,0.05,0.76,0.77,0.76,0.76,0.79,0.77,0.79,0.76,0.77,0.75,0.8,0.74,0.74,3,53,39.5296,-119.8138,,,
77,Richmond,VA,231285,6,0.17,38351,2755,191,11.9,8.3,0.07,0.8,0.81,0.65,0.86,0.78,0.84,0.83,0.86,0.78,0.82,0.83,0.82,0.81,1,136,37.5407,-77.436,,,
78,Riverside,CA,316692,6.2,0.24,51455,3976,77,12.6,2.4,0.08,0.51,0.52,0.52,0.49,0.53,0.5,0.48,0.49,0.52,0.49,0.55,0.52,0.48,25,67,33.9806,-117.3755,,,
79,Sacramento,CA,534959,8.6,0.31,62439,6747,240,12.6,4.5,0.11,0.84,0.85,0.82,0.85,0.85,0.85,0.84,0.85,0.84,0.84,0.82,0.83,0.86,1,115,38.5816,-121.4944,,,
80,San Antonio,TX,1453138,4.6,0.27,316297,32001,356,22,2.4,0.1,0.51,0.47,0.55,0.37,0.47,0.44,0.42,0.37,0.53,0.45,0.57,0.51,0.44,86,120,29.4241,-98.4936,,,
81,San Diego,CA,1394592,6.8,0.14,206371,40122,453,28.8,3.2,0.19,0.81,0.82,0.83,0.82,0.83,0.81,0.79,0.82,0.82,0.8,0.84,0.82,0.82,293,141,32.7157,-117.1611,,,
82,San Francisco,CA,883822,29.6,0.14,29892,6164,27,7,0.3,0.21,1,0.99,1,1,1,1,0.99,1,1,1,1,1,1,35,427,37.7749,-122.4194,,,
83,San Jose,CA,1018924,9,0.14,112666,15221,224,14.9,2.2,0.14,0.8,0.81,0.82,0.8,0.8,0.79,0.79,0.8,0.81,0.78,0.8,0.8,0.79,39,109,37.3541,-121.9552,,,
84,Santa Ana,CA,309050,17.6,-0.08,17520,600,49,1.9,1.6,0.03,0.74,0.75,0.75,0.68,0.76,0.72,0.74,0.68,0.74,0.71,0.76,0.73,0.71,2,110,33.7455,-117.8677,,,
85,Santa Clarita,CA,231726,5.1,0.5,45282,9723,36,42,1.6,0.21,0.52,0.48,0.53,0.51,0.52,0.52,0.47,0.51,0.52,0.51,0.57,0.52,0.49,4,194,34.3917,-118.5426,,,
