id,city,state,location,year,city_latitude,city_longitude,report_link
2392,Peshtigo,WI,"Peshtigo, WI",2019,45.0534,-87.801,http://www.nuforc.org/webreports/146/S146560.html
2393,Helena,MT,"Helena, MT",2019,46.596673684210664,-112.08131345029244,http://www.nuforc.org/webreports/146/S146920.html
2394,Newington,CT,"Newington, CT",2019,41.68571181818171,-72.73113181818192,http://www.nuforc.org/webreports/146/S146922.html
2395,Asher,OK,"Asher, OK",2019,35.0141,-96.9101,http://www.nuforc.org/webreports/146/S146889.html
2396,Naples,FL,"Naples, FL",2019,26.193181969949972,-81.73703021702818,http://www.nuforc.org/webreports/146/S146877.html
2397,Everett,WA,"Everett, WA",2019,47.92466490727516,-122.21939985734647,http://www.nuforc.org/webreports/146/S146881.html
2398,South San Francisco,CA,"South San Francisco, CA",2019,37.65350353982307,-122.4218734513274,http://www.nuforc.org/webreports/146/S146879.html
2399,Dexter,OR,"Dexter, OR",2019,43.88,-122.81759999999998,http://www.nuforc.org/webreports/146/S146885.html
2400,Durand,MI,"Durand, MI",2019,42.8949,-84.00919999999999,http://www.nuforc.org/webreports/146/S146896.html
2401,Marathon,FL,"Marathon, FL",2019,24.71630000000001,-81.07670000000003,http://www.nuforc.org/webreports/146/S146899.html
2402,Saint George,UT,"Saint George, UT",2019,37.131061244019165,-113.58876315789482,http://www.nuforc.org/webreports/146/S146880.html
2403,Casper,WY,"Casper, WY",2019,42.95549591836715,-106.35051938775509,http://www.nuforc.org/webreports/146/S146883.html
2404,Casper,WY,"Casper, WY",2019,42.95549591836715,-106.35051938775509,http://www.nuforc.org/webreports/146/S146882.html
2405,Las Vegas,NV,"Las Vegas, NV",2019,36.14124586319169,-115.18659190010752,http://www.nuforc.org/webreports/146/S146559.html
2406,Helena,MT,"Helena, MT",2019,46.596673684210664,-112.08131345029244,http://www.nuforc.org/webreports/146/S146641.html
2407,Mora,MN,"Mora, MN",2019,45.92700000000001,-93.3504,http://www.nuforc.org/webreports/146/S146583.html
2408,Newington,CT,"Newington, CT",2019,41.68571181818171,-72.73113181818192,http://www.nuforc.org/webreports/146/S146635.html
2409,Fayetteville,AR,"Fayetteville, AR",2019,36.047871851851895,-94.0445377777781,http://www.nuforc.org/webreports/146/S146638.html
2410,Venice,FL,"Venice, FL",2019,27.065818999999845,-82.39104000000012,http://www.nuforc.org/webreports/146/S146575.html
2411,Lothian,MD,"Lothian, MD",2019,38.801100000000005,-76.64689999999999,http://www.nuforc.org/webreports/146/S146574.html
2412,Farmington Hills,MI,"Farmington Hills, MI",2019,42.4853,-83.3772,http://www.nuforc.org/webreports/146/S146640.html
2413,Harrison,NJ,"Harrison, NJ",2019,40.744099999999925,-74.14350000000006,http://www.nuforc.org/webreports/146/S146636.html
2414,Merrimack,NH,"Merrimack, NH",2019,42.85019999999995,-71.51550000000013,http://www.nuforc.org/webreports/146/S146633.html
2415,Newburgh,IN,"Newburgh, IN",2019,37.95656792452828,-87.35251509433971,http://www.nuforc.org/webreports/146/S146639.html
2416,Billings,MT,"Billings, MT",2019,45.75458535031839,-108.501577070064,http://www.nuforc.org/webreports/146/S146601.html
2417,Sacramento,CA,"Sacramento, CA",2019,38.57580181028332,-121.4500995655303,http://www.nuforc.org/webreports/146/S146887.html
2418,Savannah,GA,"Savannah, GA",2019,32.02970094086019,-81.13525336021517,http://www.nuforc.org/webreports/146/S146894.html
2419,Savannah,GA,"Savannah, GA",2019,32.02970094086019,-81.13525336021517,http://www.nuforc.org/webreports/146/S146908.html
2420,London,OH,"London, OH",2019,39.89790000000001,-83.38660000000002,http://www.nuforc.org/webreports/146/S146891.html
2421,Middletown,OH,"Middletown, OH",2019,39.47070414507786,-84.42877512953397,http://www.nuforc.org/webreports/146/S146933.html
2422,Fairborn,OH,"Fairborn, OH",2019,39.82700000000011,-84.01869999999988,http://www.nuforc.org/webreports/146/S146926.html
2423,Hagerstown,IN,"Hagerstown, IN",2019,39.92509999999999,-85.16769999999998,http://www.nuforc.org/webreports/146/S146918.html
2424,Dayton,OH,"Dayton, OH",2019,39.73540852059922,-84.16762780898921,http://www.nuforc.org/webreports/146/S146906.html
2425,Germantown,OH,"Germantown, OH",2019,39.6389,-84.40499999999999,http://www.nuforc.org/webreports/146/S146902.html
2426,New Castle,IN,"New Castle, IN",2019,39.93409999999996,-85.37179999999992,http://www.nuforc.org/webreports/146/S146904.html
2427,Troy,OH,"Troy, OH",2019,40.03583043478258,-84.17787898550706,http://www.nuforc.org/webreports/146/S146905.html
2428,Tahlequah,OK,"Tahlequah, OK",2019,35.95734400000001,-94.96255199999996,http://www.nuforc.org/webreports/146/S146596.html
2429,Little Rock,AR,"Little Rock, AR",2019,34.73753627684961,-92.36319236276871,http://www.nuforc.org/webreports/146/S146580.html
2430,Raleigh,NC,"Raleigh, NC",2019,35.81800885085544,-78.64441853300764,http://www.nuforc.org/webreports/146/S146578.html
2431,Helotes,TX,"Helotes, TX",2019,29.632200000000008,-98.76060000000004,http://www.nuforc.org/webreports/146/S146629.html
2432,Cambridge,OH,"Cambridge, OH",2019,40.039299999999976,-81.5843,http://www.nuforc.org/webreports/146/S146632.html
2433,Norwalk,CT,"Norwalk, CT",2019,41.11917184035491,-73.42513348115246,http://www.nuforc.org/webreports/146/S146628.html
2434,Sudbury,MA,"Sudbury, MA",2019,42.38880000000005,-71.42249999999991,http://www.nuforc.org/webreports/146/S146598.html
2435,Greeley,CO,"Greeley, CO",2019,40.4202889880954,-104.75199613095258,http://www.nuforc.org/webreports/146/S146585.html
2436,Loves Park,IL,"Loves Park, IL",2019,42.32934054054056,-89.00108648648643,http://www.nuforc.org/webreports/146/S146587.html
2437,Sicklerville,NJ,"Sicklerville, NJ",2019,39.74009999999999,-74.97090000000014,http://www.nuforc.org/webreports/146/S146917.html
2438,Ruidoso,NM,"Ruidoso, NM",2019,33.349275000000006,-105.64117500000002,http://www.nuforc.org/webreports/146/S146893.html
2439,Savannah,GA,"Savannah, GA",2019,32.02970094086019,-81.13525336021517,http://www.nuforc.org/webreports/146/S146929.html
2440,Skokie,IL,"Skokie, IL",2019,42.036442222222306,-87.7450231111109,http://www.nuforc.org/webreports/146/S146892.html
2441,Heppner,OR,"Heppner, OR",2019,45.3127,-119.5795,http://www.nuforc.org/webreports/146/S146903.html
2442,Carlinville,IL,"Carlinville, IL",2019,39.28400000000003,-89.86979999999996,http://www.nuforc.org/webreports/146/S146940.html
2443,Carlinville,IL,"Carlinville, IL",2019,39.28400000000003,-89.86979999999996,http://www.nuforc.org/webreports/146/S146935.html
2444,Orlando,FL,"Orlando, FL",2019,28.51924669797446,-81.35409597886726,http://www.nuforc.org/webreports/146/S146934.html
2445,Smithville,MO,"Smithville, MO",2019,39.394,-94.5743,http://www.nuforc.org/webreports/146/S146942.html
2446,Boca Raton,FL,"Boca Raton, FL",2019,26.368061827957263,-80.13787724014395,http://www.nuforc.org/webreports/146/S146586.html
2447,Jackson,CA,"Jackson, CA",2019,38.35180000000001,-120.77469999999995,http://www.nuforc.org/webreports/146/S146597.html
2448,North Port,FL,"North Port, FL",2019,27.07620952380954,-82.22327976190468,http://www.nuforc.org/webreports/146/S146631.html
2449,Mount Vernon,IN,"Mount Vernon, IN",2019,37.910599999999995,-87.78150000000001,http://www.nuforc.org/webreports/146/S146630.html
2450,Trenton,IL,"Trenton, IL",2019,38.6182,-89.7065,http://www.nuforc.org/webreports/146/S146591.html
2451,Lively,ON,"Lively, ON",2019,46.443099999999994,-81.12699999999998,http://www.nuforc.org/webreports/146/S146582.html
2452,Rockmart,GA,"Rockmart, GA",2019,33.97619999999998,-85.0527,http://www.nuforc.org/webreports/146/S146593.html
2453,Walworth,NY,"Walworth, NY",2019,43.1433,-77.28790000000001,http://www.nuforc.org/webreports/146/S146602.html
2454,Middleboro,MA,"Middleboro, MA",2019,41.8847543209876,-70.87260617283958,http://www.nuforc.org/webreports/146/S146600.html
2455,Cambridge,OH,"Cambridge, OH",2019,40.039299999999976,-81.5843,http://www.nuforc.org/webreports/146/S146627.html
2456,Burlington,KY,"Burlington, KY",2019,38.99409999999995,-84.77410000000003,http://www.nuforc.org/webreports/146/S146581.html
2457,Redding,CA,"Redding, CA",2019,40.61143942307704,-122.35183557692292,http://www.nuforc.org/webreports/146/S146941.html
2458,Monroe,OR,"Monroe, OR",2019,44.3462,-123.3374,http://www.nuforc.org/webreports/146/S146615.html
